City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,75,AR,1627236302,100,-54.8,-68.3,33.46,21.85
Albany,94,US,1627236427,74,42.6001,-73.9662,81.27,6.62
Busselton,44,AU,1627236428,66,-33.65,115.3333,58.08,19.44
Naze,100,JP,1627236428,88,28.3667,129.4833,77.97,18.72
Gimli,18,CA,1627236428,33,50.6336,-96.9907,84.43,16.13
Carnarvon,0,AU,1627236429,72,-24.8667,113.6333,53.67,4.61
Ukiah,1,US,1627236429,32,39.1502,-123.2078,97.03,3.44
Provideniya,100,RU,1627236429,99,64.3833,-173.3,46.71,6.67
Rikitea,97,PF,1627236309,65,-23.1203,-134.9692,70.34,3.91
Hermanus,100,ZA,1627236429,55,-34.4187,19.2345,62.91,7.9
Barrow,90,US,1627236430,91,71.2906,-156.7887,42.82,13.8
Port Alfred,27,ZA,1627236430,49,-33.5906,26.891,61.03,11.43
Lagoa,100,PT,1627236431,82,39.05,-27.9833,69.49,12.8
Dongsheng,78,CN,1627236431,79,39.8161,109.9776,70.03,14.29
Batagay-Alyta,52,RU,1627236431,76,67.8006,130.4114,53.02,1.97
Basqal,54,AZ,1627236432,63,40.7552,48.391,69.46,4.72
Atuona,52,PF,1627236432,72,-9.8,-139.0333,77.38,23.67
Cape Town,100,ZA,1627236432,57,-33.9258,18.4232,63.12,6.49
Máncora,49,PE,1627236433,68,-4.1078,-81.0475,75.78,11.23
La Sarre,21,CA,1627236409,61,48.8002,-79.1996,73.74,7.78
Butaritari,18,KI,1627236433,76,3.0707,172.7902,81.95,10.31
Ojinaga,1,MX,1627236433,40,29.5667,-104.4167,94.57,0.0
Ribeira Grande,40,PT,1627236145,83,38.5167,-28.7,73.8,8.05
Avarua,75,CK,1627236142,94,-21.2078,-159.775,71.65,4.61
Cidreira,6,BR,1627236434,53,-30.1811,-50.2056,74.28,6.53
Coquimbo,0,CL,1627236434,55,-29.9533,-71.3436,60.53,8.05
Punta Arenas,86,CL,1627236141,63,-53.15,-70.9167,41.11,16.06
New Norfolk,74,AU,1627236434,69,-42.7826,147.0587,41.67,4.0
Seversk,93,RU,1627236434,93,56.6006,84.8864,72.09,4.16
Hirara,100,JP,1627236435,91,24.8,125.2833,83.41,12.84
Lishui,100,CN,1627236435,95,28.4604,119.9103,75.72,3.87
São Filipe,56,CV,1627236435,73,14.8961,-24.4956,74.25,7.7
Miandrivazo,84,MG,1627236436,42,-19.5167,45.4667,76.37,8.16
Hilo,90,US,1627236308,90,19.7297,-155.09,78.8,0.0
Upernavik,47,GL,1627236436,82,72.7868,-56.1549,41.0,11.56
Yangi Marg`ilon,1,UZ,1627236436,14,40.4272,71.7189,85.42,3.94
Unaí,0,BR,1627236437,26,-16.3575,-46.9061,82.18,6.33
Okha,96,RU,1627236269,84,53.5739,142.9478,67.77,6.98
Maxixe,58,MZ,1627236437,77,-23.8597,35.3472,63.23,9.48
Bluff,100,NZ,1627236437,82,-46.6,168.3333,47.8,5.91
Grindavik,75,IS,1627236438,87,63.8424,-22.4338,52.27,34.52
Kruisfontein,59,ZA,1627236438,45,-34.0033,24.7314,53.71,3.13
Barra de Tecoanapa,96,MX,1627236438,67,16.5167,-98.75,86.45,9.8
Jamestown,40,US,1627236324,62,42.097,-79.2353,84.09,5.01
Ostrovnoy,95,RU,1627236439,85,68.0531,39.5131,46.45,17.69
Souillac,1,MU,1627236439,60,-20.5167,57.5167,70.36,14.56
George Town,20,MY,1627236440,80,5.4112,100.3354,83.89,0.0
Nome,90,US,1627236440,87,64.5011,-165.4064,48.27,10.36
Tacoronte,20,ES,1627236440,56,28.4769,-16.4102,78.26,21.85
Yellowknife,9,CA,1627236440,51,62.456,-114.3525,60.3,4.0
Severo-Kuril'sk,82,RU,1627236441,97,50.6789,156.125,53.69,3.36
Constitución,50,CL,1627236441,88,-35.3333,-72.4167,53.44,10.25
